2022-07-07 19:46:25.480013: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcublas.so.11'; dlerror: libcublas.so.11: cannot open shared object file: No such file or directory
2022-07-07 19:46:25.480248: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcublasLt.so.11'; dlerror: libcublasLt.so.11: cannot open shared object file: No such file or directory
2022-07-07 19:46:25.480375: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcufft.so.10'; dlerror: libcufft.so.10: cannot open shared object file: No such file or directory
2022-07-07 19:46:25.480497: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcurand.so.10'; dlerror: libcurand.so.10: cannot open shared object file: No such file or directory
2022-07-07 19:46:25.480617: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcusolver.so.11'; dlerror: libcusolver.so.11: cannot open shared object file: No such file or directory
2022-07-07 19:46:25.480737: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcusparse.so.11'; dlerror: libcusparse.so.11: cannot open shared object file: No such file or directory
2022-07-07 19:46:25.480861: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcudnn.so.8'; dlerror: libcudnn.so.8: cannot open shared object file: No such file or directory
2022-07-07 19:46:25.480893: W tensorflow/core/common_runtime/gpu/gpu_device.cc:1850] Cannot dlopen some GPU libraries. Please make sure the missing libraries mentioned above are installed properly if you would like to use GPU. Follow the guide at https://www.tensorflow.org/install/gpu for how to download and setup the required libraries for your platform.
Skipping registering GPU devices...
I0707 19:46:25.481371 140666892580672 train.py:51] ===========Config Dict============
I0707 19:46:25.481620 140666892580672 train.py:52] available_devices:
- 0
- 1
- 2
- 3
batch_size: 8
checkpoint_freq: 2500
data_dir: google_datasets/listops-1000/
emb_dim: 512
eval_frequency: 50
factors: constant * linear_warmup * rsqrt_decay
learning_rate: 0.05
max_eval_target_length: 200
max_length: 2000
max_predict_token_length: 50
max_target_length: 200
mlp_dim: 1024
model_type: bigbird
num_eval_steps: 99999
num_heads: 8
num_layers: 4
num_train_steps: 5001
pooling_mode: CLS
prompt: ''
qkv_dim: 512
random_seed: 0
restore_checkpoints: true
sampling_temperature: 0.6
sampling_top_k: 20
save_checkpoints: true
task_name: basic
tied_weights: false
trial: 0
warmup: 1000
weight_decay: 0.1

I0707 19:46:25.492181 140666892580672 xla_bridge.py:340] Unable to initialize backend 'tpu_driver': NOT_FOUND: Unable to find driver in registry given worker: 
I0707 19:46:26.629575 140666892580672 xla_bridge.py:340] Unable to initialize backend 'rocm': NOT_FOUND: Could not find registered platform with name: "rocm". Available platform names are: Interpreter CUDA Host
I0707 19:46:26.630196 140666892580672 xla_bridge.py:340] Unable to initialize backend 'tpu': module 'jaxlib.xla_extension' has no attribute 'get_tpu_client'
I0707 19:46:26.630416 140666892580672 train.py:64] GPU devices: [GpuDevice(id=0, process_index=0), GpuDevice(id=1, process_index=0), GpuDevice(id=2, process_index=0), GpuDevice(id=3, process_index=0)]
INFO:tensorflow:google_datasets/listops-1000/basic_train.tsv
I0707 19:46:26.630548 140666892580672 input_pipeline.py:35] google_datasets/listops-1000/basic_train.tsv
INFO:tensorflow:google_datasets/listops-1000/basic_val.tsv
I0707 19:46:26.716172 140666892580672 input_pipeline.py:35] google_datasets/listops-1000/basic_val.tsv
INFO:tensorflow:google_datasets/listops-1000/basic_test.tsv
I0707 19:46:26.737370 140666892580672 input_pipeline.py:35] google_datasets/listops-1000/basic_test.tsv
INFO:tensorflow:Finished preprocessing
I0707 19:46:26.758882 140666892580672 input_pipeline.py:64] Finished preprocessing
INFO:tensorflow:Building vocab
I0707 19:46:26.758992 140666892580672 input_pipeline.py:65] Building vocab
INFO:tensorflow:Processed 0
I0707 19:46:26.914715 140666892580672 input_pipeline.py:78] Processed 0
INFO:tensorflow:Processed 1000
I0707 19:46:33.297563 140666892580672 input_pipeline.py:78] Processed 1000
INFO:tensorflow:Finished processing vocab size=15
I0707 19:46:33.309008 140666892580672 input_pipeline.py:82] Finished processing vocab size=15
I0707 19:46:33.422916 140666892580672 train.py:79] Vocab Size: 17
I0707 19:46:47.548892 140666892580672 checkpoints.py:249] Found no checkpoint files in trained_models/listops/bigbird with prefix checkpoint_
I0707 19:46:48.536551 140666892580672 train_utils.py:339] Starting training
I0707 19:46:48.536730 140666892580672 train_utils.py:340] ====================
I0707 19:47:16.910247 140666892580672 train_utils.py:346] train in step: 0
I0707 19:47:16.940463 140666892580672 train_utils.py:346] train in step: 1
I0707 19:47:16.985085 140666892580672 train_utils.py:346] train in step: 2
I0707 19:47:17.089329 140666892580672 train_utils.py:346] train in step: 3
I0707 19:47:17.194358 140666892580672 train_utils.py:346] train in step: 4
I0707 19:47:17.296422 140666892580672 train_utils.py:346] train in step: 5
I0707 19:47:17.397835 140666892580672 train_utils.py:346] train in step: 6
I0707 19:47:17.505137 140666892580672 train_utils.py:346] train in step: 7
I0707 19:47:17.607293 140666892580672 train_utils.py:346] train in step: 8
I0707 19:47:17.708121 140666892580672 train_utils.py:346] train in step: 9
I0707 19:47:17.807949 140666892580672 train_utils.py:346] train in step: 10
I0707 19:47:17.908022 140666892580672 train_utils.py:346] train in step: 11
I0707 19:47:18.007087 140666892580672 train_utils.py:346] train in step: 12
I0707 19:47:18.107177 140666892580672 train_utils.py:346] train in step: 13
I0707 19:47:18.204249 140666892580672 train_utils.py:346] train in step: 14
I0707 19:47:18.304789 140666892580672 train_utils.py:346] train in step: 15
I0707 19:47:18.402520 140666892580672 train_utils.py:346] train in step: 16
I0707 19:47:18.498789 140666892580672 train_utils.py:346] train in step: 17
I0707 19:47:18.593535 140666892580672 train_utils.py:346] train in step: 18
I0707 19:47:18.691015 140666892580672 train_utils.py:346] train in step: 19
I0707 19:47:18.788936 140666892580672 train_utils.py:346] train in step: 20
I0707 19:47:18.885104 140666892580672 train_utils.py:346] train in step: 21
I0707 19:47:18.981965 140666892580672 train_utils.py:346] train in step: 22
I0707 19:47:19.081184 140666892580672 train_utils.py:346] train in step: 23
I0707 19:47:19.179789 140666892580672 train_utils.py:346] train in step: 24
I0707 19:47:19.274706 140666892580672 train_utils.py:346] train in step: 25
I0707 19:47:19.371858 140666892580672 train_utils.py:346] train in step: 26
I0707 19:47:19.471325 140666892580672 train_utils.py:346] train in step: 27
I0707 19:47:19.568213 140666892580672 train_utils.py:346] train in step: 28
I0707 19:47:19.665126 140666892580672 train_utils.py:346] train in step: 29
I0707 19:47:19.765618 140666892580672 train_utils.py:346] train in step: 30
I0707 19:47:19.866432 140666892580672 train_utils.py:346] train in step: 31
I0707 19:47:19.968150 140666892580672 train_utils.py:346] train in step: 32
I0707 19:47:20.072122 140666892580672 train_utils.py:346] train in step: 33
I0707 19:47:20.176781 140666892580672 train_utils.py:346] train in step: 34
I0707 19:47:20.282849 140666892580672 train_utils.py:346] train in step: 35
I0707 19:47:20.386815 140666892580672 train_utils.py:346] train in step: 36
I0707 19:47:20.492639 140666892580672 train_utils.py:346] train in step: 37
I0707 19:47:20.596119 140666892580672 train_utils.py:346] train in step: 38
I0707 19:47:20.700997 140666892580672 train_utils.py:346] train in step: 39
I0707 19:47:20.819904 140666892580672 train_utils.py:346] train in step: 40
I0707 19:47:20.927794 140666892580672 train_utils.py:346] train in step: 41
I0707 19:47:21.031174 140666892580672 train_utils.py:346] train in step: 42
I0707 19:47:21.137133 140666892580672 train_utils.py:346] train in step: 43
I0707 19:47:21.240251 140666892580672 train_utils.py:346] train in step: 44
I0707 19:47:21.343082 140666892580672 train_utils.py:346] train in step: 45
I0707 19:47:21.455169 140666892580672 train_utils.py:346] train in step: 46
I0707 19:47:21.561746 140666892580672 train_utils.py:346] train in step: 47
I0707 19:47:21.664956 140666892580672 train_utils.py:346] train in step: 48
I0707 19:47:21.768377 140666892580672 train_utils.py:346] train in step: 49
I0707 19:47:21.871773 140666892580672 train_utils.py:346] train in step: 50
I0707 19:47:22.658639 140666892580672 train_utils.py:365] train in step: 50, loss: 2.416299819946289, acc: 0.11759999394416809
I0707 19:47:40.030831 140666892580672 train_utils.py:380] eval in step: 50, loss: 2.4413, acc: 0.0855
