I0707 19:47:22.658639 140666892580672 train_utils.py:365] train in step: 50, loss: 2.416299819946289, acc: 0.11759999394416809
I0707 19:47:40.030831 140666892580672 train_utils.py:380] eval in step: 50, loss: 2.4413, acc: 0.0855
I0707 19:47:45.360196 140666892580672 train_utils.py:365] train in step: 100, loss: 2.412099838256836, acc: 0.12999999523162842
I0707 19:47:53.257435 140666892580672 train_utils.py:380] eval in step: 100, loss: 2.4830, acc: 0.1595
I0707 19:47:58.854748 140666892580672 train_utils.py:365] train in step: 150, loss: 2.3812999725341797, acc: 0.1599999964237213
I0707 19:48:08.442395 140666892580672 train_utils.py:380] eval in step: 150, loss: 2.3515, acc: 0.0970
I0707 19:48:15.428398 140666892580672 train_utils.py:365] train in step: 200, loss: 2.4635000228881836, acc: 0.13499999046325684
I0707 19:48:35.400230 140666892580672 train_utils.py:380] eval in step: 200, loss: 2.3068, acc: 0.1715
I0707 19:48:40.615051 140666892580672 train_utils.py:365] train in step: 250, loss: 2.3588998317718506, acc: 0.14249999821186066
I0707 19:48:50.054381 140666892580672 train_utils.py:380] eval in step: 250, loss: 2.4278, acc: 0.1595
I0707 19:48:57.872169 140666892580672 train_utils.py:365] train in step: 300, loss: 2.3441998958587646, acc: 0.13750000298023224
I0707 19:49:14.427769 140666892580672 train_utils.py:380] eval in step: 300, loss: 2.4089, acc: 0.1715
I0707 19:49:20.104394 140666892580672 train_utils.py:365] train in step: 350, loss: 2.366299867630005, acc: 0.11499999463558197
I0707 19:49:31.594745 140666892580672 train_utils.py:380] eval in step: 350, loss: 2.3561, acc: 0.1595
I0707 19:49:40.505756 140666892580672 train_utils.py:365] train in step: 400, loss: 2.3385000228881836, acc: 0.10499999672174454
I0707 19:49:52.764651 140666892580672 train_utils.py:380] eval in step: 400, loss: 2.3460, acc: 0.1595
I0707 19:50:00.167626 140666892580672 train_utils.py:365] train in step: 450, loss: 2.346400022506714, acc: 0.125
