2022-07-07 19:04:57.004830: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcublas.so.11'; dlerror: libcublas.so.11: cannot open shared object file: No such file or directory
2022-07-07 19:04:57.005005: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcublasLt.so.11'; dlerror: libcublasLt.so.11: cannot open shared object file: No such file or directory
2022-07-07 19:04:57.005094: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcufft.so.10'; dlerror: libcufft.so.10: cannot open shared object file: No such file or directory
2022-07-07 19:04:57.005181: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcurand.so.10'; dlerror: libcurand.so.10: cannot open shared object file: No such file or directory
2022-07-07 19:04:57.005264: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcusolver.so.11'; dlerror: libcusolver.so.11: cannot open shared object file: No such file or directory
2022-07-07 19:04:57.005349: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcusparse.so.11'; dlerror: libcusparse.so.11: cannot open shared object file: No such file or directory
2022-07-07 19:04:57.005430: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcudnn.so.8'; dlerror: libcudnn.so.8: cannot open shared object file: No such file or directory
2022-07-07 19:04:57.005454: W tensorflow/core/common_runtime/gpu/gpu_device.cc:1850] Cannot dlopen some GPU libraries. Please make sure the missing libraries mentioned above are installed properly if you would like to use GPU. Follow the guide at https://www.tensorflow.org/install/gpu for how to download and setup the required libraries for your platform.
Skipping registering GPU devices...
I0707 19:04:57.006838 140703716603712 train.py:51] ===========Config Dict============
I0707 19:04:57.007211 140703716603712 train.py:52] available_devices:
- 0
- 1
- 2
- 3
batch_size: 8
checkpoint_freq: 2500
data_dir: google_datasets/listops-1000/
emb_dim: 512
eval_frequency: 50
factors: constant * linear_warmup * rsqrt_decay
learning_rate: 0.05
max_eval_target_length: 200
max_length: 2000
max_predict_token_length: 50
max_target_length: 200
mlp_dim: 1024
model_type: linformer
num_eval_steps: 99999
num_heads: 8
num_layers: 4
num_train_steps: 5001
pooling_mode: CLS
prompt: ''
qkv_dim: 512
random_seed: 0
restore_checkpoints: true
sampling_temperature: 0.6
sampling_top_k: 20
save_checkpoints: true
task_name: basic
tied_weights: false
trial: 0
warmup: 1000
weight_decay: 0.1

I0707 19:04:57.018665 140703716603712 xla_bridge.py:340] Unable to initialize backend 'tpu_driver': NOT_FOUND: Unable to find driver in registry given worker: 
I0707 19:04:58.241846 140703716603712 xla_bridge.py:340] Unable to initialize backend 'rocm': NOT_FOUND: Could not find registered platform with name: "rocm". Available platform names are: Interpreter CUDA Host
I0707 19:04:58.242528 140703716603712 xla_bridge.py:340] Unable to initialize backend 'tpu': module 'jaxlib.xla_extension' has no attribute 'get_tpu_client'
I0707 19:04:58.242746 140703716603712 train.py:64] GPU devices: [GpuDevice(id=0, process_index=0), GpuDevice(id=1, process_index=0), GpuDevice(id=2, process_index=0), GpuDevice(id=3, process_index=0)]
INFO:tensorflow:google_datasets/listops-1000/basic_train.tsv
I0707 19:04:58.242882 140703716603712 input_pipeline.py:35] google_datasets/listops-1000/basic_train.tsv
INFO:tensorflow:google_datasets/listops-1000/basic_val.tsv
I0707 19:04:58.343268 140703716603712 input_pipeline.py:35] google_datasets/listops-1000/basic_val.tsv
INFO:tensorflow:google_datasets/listops-1000/basic_test.tsv
I0707 19:04:58.364444 140703716603712 input_pipeline.py:35] google_datasets/listops-1000/basic_test.tsv
INFO:tensorflow:Finished preprocessing
I0707 19:04:58.385671 140703716603712 input_pipeline.py:64] Finished preprocessing
INFO:tensorflow:Building vocab
I0707 19:04:58.385778 140703716603712 input_pipeline.py:65] Building vocab
INFO:tensorflow:Processed 0
I0707 19:04:58.563772 140703716603712 input_pipeline.py:78] Processed 0
INFO:tensorflow:Processed 1000
I0707 19:05:04.699010 140703716603712 input_pipeline.py:78] Processed 1000
INFO:tensorflow:Finished processing vocab size=15
I0707 19:05:04.709922 140703716603712 input_pipeline.py:82] Finished processing vocab size=15
I0707 19:05:04.835929 140703716603712 train.py:79] Vocab Size: 17
I0707 19:05:18.301960 140703716603712 checkpoints.py:249] Found no checkpoint files in trained_models/listops/linformer with prefix checkpoint_
I0707 19:05:18.995024 140703716603712 train_utils.py:339] Starting training
I0707 19:05:18.995237 140703716603712 train_utils.py:340] ====================
I0707 19:05:36.387642 140703716603712 train_utils.py:346] train in step: 0
I0707 19:05:36.423359 140703716603712 train_utils.py:346] train in step: 1
I0707 19:05:36.449076 140703716603712 train_utils.py:346] train in step: 2
I0707 19:05:36.483555 140703716603712 train_utils.py:346] train in step: 3
I0707 19:05:36.515034 140703716603712 train_utils.py:346] train in step: 4
I0707 19:05:36.580895 140703716603712 train_utils.py:346] train in step: 5
I0707 19:05:36.642990 140703716603712 train_utils.py:346] train in step: 6
I0707 19:05:36.706983 140703716603712 train_utils.py:346] train in step: 7
I0707 19:05:36.771342 140703716603712 train_utils.py:346] train in step: 8
I0707 19:05:36.835187 140703716603712 train_utils.py:346] train in step: 9
I0707 19:05:36.897958 140703716603712 train_utils.py:346] train in step: 10
I0707 19:05:36.959486 140703716603712 train_utils.py:346] train in step: 11
I0707 19:05:37.020317 140703716603712 train_utils.py:346] train in step: 12
I0707 19:05:37.092395 140703716603712 train_utils.py:346] train in step: 13
I0707 19:05:37.157481 140703716603712 train_utils.py:346] train in step: 14
I0707 19:05:37.223316 140703716603712 train_utils.py:346] train in step: 15
I0707 19:05:37.288804 140703716603712 train_utils.py:346] train in step: 16
I0707 19:05:37.352701 140703716603712 train_utils.py:346] train in step: 17
I0707 19:05:37.415430 140703716603712 train_utils.py:346] train in step: 18
I0707 19:05:37.481180 140703716603712 train_utils.py:346] train in step: 19
I0707 19:05:37.544952 140703716603712 train_utils.py:346] train in step: 20
I0707 19:05:37.605453 140703716603712 train_utils.py:346] train in step: 21
I0707 19:05:37.665606 140703716603712 train_utils.py:346] train in step: 22
I0707 19:05:37.727327 140703716603712 train_utils.py:346] train in step: 23
I0707 19:05:37.787066 140703716603712 train_utils.py:346] train in step: 24
I0707 19:05:37.847217 140703716603712 train_utils.py:346] train in step: 25
I0707 19:05:37.915995 140703716603712 train_utils.py:346] train in step: 26
I0707 19:05:37.974729 140703716603712 train_utils.py:346] train in step: 27
I0707 19:05:38.037191 140703716603712 train_utils.py:346] train in step: 28
I0707 19:05:38.096051 140703716603712 train_utils.py:346] train in step: 29
I0707 19:05:38.157348 140703716603712 train_utils.py:346] train in step: 30
I0707 19:05:38.217293 140703716603712 train_utils.py:346] train in step: 31
I0707 19:05:38.277117 140703716603712 train_utils.py:346] train in step: 32
I0707 19:05:38.337151 140703716603712 train_utils.py:346] train in step: 33
I0707 19:05:38.401431 140703716603712 train_utils.py:346] train in step: 34
I0707 19:05:38.460941 140703716603712 train_utils.py:346] train in step: 35
I0707 19:05:38.520742 140703716603712 train_utils.py:346] train in step: 36
I0707 19:05:38.577829 140703716603712 train_utils.py:346] train in step: 37
I0707 19:05:38.638334 140703716603712 train_utils.py:346] train in step: 38
I0707 19:05:38.698635 140703716603712 train_utils.py:346] train in step: 39
I0707 19:05:38.767928 140703716603712 train_utils.py:346] train in step: 40
I0707 19:05:38.827695 140703716603712 train_utils.py:346] train in step: 41
I0707 19:05:38.888402 140703716603712 train_utils.py:346] train in step: 42
I0707 19:05:38.945274 140703716603712 train_utils.py:346] train in step: 43
I0707 19:05:39.004554 140703716603712 train_utils.py:346] train in step: 44
I0707 19:05:39.062645 140703716603712 train_utils.py:346] train in step: 45
I0707 19:05:39.120227 140703716603712 train_utils.py:346] train in step: 46
I0707 19:05:39.184340 140703716603712 train_utils.py:346] train in step: 47
I0707 19:05:39.243556 140703716603712 train_utils.py:346] train in step: 48
I0707 19:05:39.305068 140703716603712 train_utils.py:346] train in step: 49
I0707 19:05:39.363234 140703716603712 train_utils.py:346] train in step: 50
I0707 19:05:40.143668 140703716603712 train_utils.py:365] train in step: 50, loss: 2.4402999877929688, acc: 0.10779999941587448
I0707 19:05:48.295371 140703716603712 train_utils.py:380] eval in step: 50, loss: 2.3618, acc: 0.1185
