I0707 17:31:12.381283 140708639004480 train_utils.py:365] train in step: 50, loss: 2.440999984741211, acc: 0.1396999955177307
I0707 17:31:54.010227 140708639004480 train_utils.py:380] eval in step: 50, loss: 2.6371, acc: 0.0810
I0707 17:32:07.203137 140708639004480 train_utils.py:365] train in step: 100, loss: 2.493499994277954, acc: 0.11999999731779099
I0707 17:32:19.301919 140708639004480 train_utils.py:380] eval in step: 100, loss: 2.5778, acc: 0.0790
I0707 17:32:42.484419 140708639004480 train_utils.py:365] train in step: 150, loss: 2.425999879837036, acc: 0.1224999949336052
I0707 17:32:55.069957 140708639004480 train_utils.py:380] eval in step: 150, loss: 2.4477, acc: 0.1595
I0707 17:33:09.777283 140708639004480 train_utils.py:365] train in step: 200, loss: 2.44599986076355, acc: 0.1274999976158142
I0707 17:33:35.415887 140708639004480 train_utils.py:380] eval in step: 200, loss: 2.3451, acc: 0.1715
I0707 17:33:49.775933 140708639004480 train_utils.py:365] train in step: 250, loss: 2.4286999702453613, acc: 0.10249999910593033
I0707 17:34:10.673384 140708639004480 train_utils.py:380] eval in step: 250, loss: 2.4372, acc: 0.1595
I0707 17:34:38.956247 140708639004480 train_utils.py:365] train in step: 300, loss: 2.3773999214172363, acc: 0.14000000059604645
I0707 17:34:51.904633 140708639004480 train_utils.py:380] eval in step: 300, loss: 2.4521, acc: 0.0970
I0707 17:35:10.419305 140708639004480 train_utils.py:365] train in step: 350, loss: 2.40559983253479, acc: 0.14249999821186066
I0707 17:35:49.514091 140708639004480 train_utils.py:380] eval in step: 350, loss: 2.3073, acc: 0.1595
I0707 17:36:02.783402 140708639004480 train_utils.py:365] train in step: 400, loss: 2.307499885559082, acc: 0.1599999964237213
I0707 17:36:29.174019 140708639004480 train_utils.py:380] eval in step: 400, loss: 2.3008, acc: 0.1715
I0707 17:36:43.003758 140708639004480 train_utils.py:365] train in step: 450, loss: 2.3066999912261963, acc: 0.14499999582767487
I0707 17:37:05.586013 140708639004480 train_utils.py:380] eval in step: 450, loss: 2.3396, acc: 0.1715
I0707 17:37:27.592233 140708639004480 train_utils.py:365] train in step: 500, loss: 2.2883999347686768, acc: 0.14999999105930328
I0707 17:37:43.337298 140708639004480 train_utils.py:380] eval in step: 500, loss: 2.2886, acc: 0.1595
I0707 17:38:00.985677 140708639004480 train_utils.py:365] train in step: 550, loss: 2.29259991645813, acc: 0.16499999165534973
I0707 17:38:42.759016 140708639004480 train_utils.py:380] eval in step: 550, loss: 2.3039, acc: 0.1595
I0707 17:38:55.940454 140708639004480 train_utils.py:365] train in step: 600, loss: 2.2909998893737793, acc: 0.16249999403953552
I0707 17:39:10.799716 140708639004480 train_utils.py:380] eval in step: 600, loss: 2.3129, acc: 0.1715
I0707 17:39:35.862796 140708639004480 train_utils.py:365] train in step: 650, loss: 2.2493999004364014, acc: 0.1875
I0707 17:39:51.874806 140708639004480 train_utils.py:380] eval in step: 650, loss: 2.2748, acc: 0.1595
