2022-07-07 18:42:34.141015: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcublas.so.11'; dlerror: libcublas.so.11: cannot open shared object file: No such file or directory
2022-07-07 18:42:34.141243: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcublasLt.so.11'; dlerror: libcublasLt.so.11: cannot open shared object file: No such file or directory
2022-07-07 18:42:34.141362: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcufft.so.10'; dlerror: libcufft.so.10: cannot open shared object file: No such file or directory
2022-07-07 18:42:34.141473: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcurand.so.10'; dlerror: libcurand.so.10: cannot open shared object file: No such file or directory
2022-07-07 18:42:34.141583: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcusolver.so.11'; dlerror: libcusolver.so.11: cannot open shared object file: No such file or directory
2022-07-07 18:42:34.141692: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcusparse.so.11'; dlerror: libcusparse.so.11: cannot open shared object file: No such file or directory
2022-07-07 18:42:34.141804: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcudnn.so.8'; dlerror: libcudnn.so.8: cannot open shared object file: No such file or directory
2022-07-07 18:42:34.141832: W tensorflow/core/common_runtime/gpu/gpu_device.cc:1850] Cannot dlopen some GPU libraries. Please make sure the missing libraries mentioned above are installed properly if you would like to use GPU. Follow the guide at https://www.tensorflow.org/install/gpu for how to download and setup the required libraries for your platform.
Skipping registering GPU devices...
I0707 18:42:34.142293 140350605944640 train.py:51] ===========Config Dict============
I0707 18:42:34.142527 140350605944640 train.py:52] available_devices:
- 0
- 1
- 2
- 3
batch_size: 8
checkpoint_freq: 2500
data_dir: google_datasets/listops-1000/
emb_dim: 512
eval_frequency: 50
factors: constant * linear_warmup * rsqrt_decay
learning_rate: 0.05
max_eval_target_length: 200
max_length: 2000
max_predict_token_length: 50
max_target_length: 200
mlp_dim: 1024
model_type: reformer
num_eval_steps: 99999
num_heads: 8
num_layers: 4
num_train_steps: 5001
pooling_mode: CLS
prompt: ''
qkv_dim: 512
random_seed: 0
restore_checkpoints: true
sampling_temperature: 0.6
sampling_top_k: 20
save_checkpoints: true
task_name: basic
tied_weights: false
trial: 0
warmup: 1000
weight_decay: 0.1

I0707 18:42:34.155239 140350605944640 xla_bridge.py:340] Unable to initialize backend 'tpu_driver': NOT_FOUND: Unable to find driver in registry given worker: 
I0707 18:42:35.391273 140350605944640 xla_bridge.py:340] Unable to initialize backend 'rocm': NOT_FOUND: Could not find registered platform with name: "rocm". Available platform names are: Interpreter CUDA Host
I0707 18:42:35.391823 140350605944640 xla_bridge.py:340] Unable to initialize backend 'tpu': module 'jaxlib.xla_extension' has no attribute 'get_tpu_client'
I0707 18:42:35.392036 140350605944640 train.py:64] GPU devices: [GpuDevice(id=0, process_index=0), GpuDevice(id=1, process_index=0), GpuDevice(id=2, process_index=0), GpuDevice(id=3, process_index=0)]
INFO:tensorflow:google_datasets/listops-1000/basic_train.tsv
I0707 18:42:35.392171 140350605944640 input_pipeline.py:35] google_datasets/listops-1000/basic_train.tsv
INFO:tensorflow:google_datasets/listops-1000/basic_val.tsv
I0707 18:42:35.503153 140350605944640 input_pipeline.py:35] google_datasets/listops-1000/basic_val.tsv
INFO:tensorflow:google_datasets/listops-1000/basic_test.tsv
I0707 18:42:35.531355 140350605944640 input_pipeline.py:35] google_datasets/listops-1000/basic_test.tsv
INFO:tensorflow:Finished preprocessing
I0707 18:42:35.553381 140350605944640 input_pipeline.py:64] Finished preprocessing
INFO:tensorflow:Building vocab
I0707 18:42:35.553494 140350605944640 input_pipeline.py:65] Building vocab
INFO:tensorflow:Processed 0
I0707 18:42:35.706644 140350605944640 input_pipeline.py:78] Processed 0
INFO:tensorflow:Processed 1000
I0707 18:42:41.621643 140350605944640 input_pipeline.py:78] Processed 1000
INFO:tensorflow:Finished processing vocab size=15
I0707 18:42:41.632035 140350605944640 input_pipeline.py:82] Finished processing vocab size=15
I0707 18:42:41.723007 140350605944640 train.py:79] Vocab Size: 17
I0707 18:42:52.356508 140350605944640 checkpoints.py:249] Found no checkpoint files in trained_models/listops/reformer with prefix checkpoint_
I0707 18:42:53.016212 140350605944640 train_utils.py:339] Starting training
I0707 18:42:53.016438 140350605944640 train_utils.py:340] ====================
I0707 18:43:14.008361 140350605944640 train_utils.py:346] train in step: 0
I0707 18:43:14.036985 140350605944640 train_utils.py:346] train in step: 1
I0707 18:43:14.061730 140350605944640 train_utils.py:346] train in step: 2
I0707 18:43:14.092077 140350605944640 train_utils.py:346] train in step: 3
I0707 18:43:14.165575 140350605944640 train_utils.py:346] train in step: 4
I0707 18:43:14.240284 140350605944640 train_utils.py:346] train in step: 5
I0707 18:43:14.314420 140350605944640 train_utils.py:346] train in step: 6
I0707 18:43:14.398534 140350605944640 train_utils.py:346] train in step: 7
I0707 18:43:14.478761 140350605944640 train_utils.py:346] train in step: 8
I0707 18:43:14.551995 140350605944640 train_utils.py:346] train in step: 9
I0707 18:43:14.624247 140350605944640 train_utils.py:346] train in step: 10
I0707 18:43:14.694160 140350605944640 train_utils.py:346] train in step: 11
I0707 18:43:14.765108 140350605944640 train_utils.py:346] train in step: 12
I0707 18:43:14.836485 140350605944640 train_utils.py:346] train in step: 13
I0707 18:43:14.908824 140350605944640 train_utils.py:346] train in step: 14
I0707 18:43:14.978568 140350605944640 train_utils.py:346] train in step: 15
I0707 18:43:15.051265 140350605944640 train_utils.py:346] train in step: 16
I0707 18:43:15.123519 140350605944640 train_utils.py:346] train in step: 17
I0707 18:43:15.197910 140350605944640 train_utils.py:346] train in step: 18
I0707 18:43:15.268367 140350605944640 train_utils.py:346] train in step: 19
I0707 18:43:15.339758 140350605944640 train_utils.py:346] train in step: 20
I0707 18:43:15.410509 140350605944640 train_utils.py:346] train in step: 21
I0707 18:43:15.483929 140350605944640 train_utils.py:346] train in step: 22
I0707 18:43:15.555828 140350605944640 train_utils.py:346] train in step: 23
I0707 18:43:15.634377 140350605944640 train_utils.py:346] train in step: 24
I0707 18:43:15.704764 140350605944640 train_utils.py:346] train in step: 25
I0707 18:43:15.772790 140350605944640 train_utils.py:346] train in step: 26
I0707 18:43:15.841617 140350605944640 train_utils.py:346] train in step: 27
I0707 18:43:15.914840 140350605944640 train_utils.py:346] train in step: 28
I0707 18:43:15.986596 140350605944640 train_utils.py:346] train in step: 29
I0707 18:43:16.055187 140350605944640 train_utils.py:346] train in step: 30
I0707 18:43:16.123865 140350605944640 train_utils.py:346] train in step: 31
I0707 18:43:16.194249 140350605944640 train_utils.py:346] train in step: 32
I0707 18:43:16.263508 140350605944640 train_utils.py:346] train in step: 33
I0707 18:43:16.334163 140350605944640 train_utils.py:346] train in step: 34
I0707 18:43:16.402085 140350605944640 train_utils.py:346] train in step: 35
I0707 18:43:16.469912 140350605944640 train_utils.py:346] train in step: 36
I0707 18:43:16.538333 140350605944640 train_utils.py:346] train in step: 37
I0707 18:43:16.607165 140350605944640 train_utils.py:346] train in step: 38
I0707 18:43:16.675376 140350605944640 train_utils.py:346] train in step: 39
I0707 18:43:16.743984 140350605944640 train_utils.py:346] train in step: 40
I0707 18:43:16.814382 140350605944640 train_utils.py:346] train in step: 41
I0707 18:43:16.882524 140350605944640 train_utils.py:346] train in step: 42
I0707 18:43:16.955092 140350605944640 train_utils.py:346] train in step: 43
I0707 18:43:17.026293 140350605944640 train_utils.py:346] train in step: 44
I0707 18:43:17.097259 140350605944640 train_utils.py:346] train in step: 45
I0707 18:43:17.167365 140350605944640 train_utils.py:346] train in step: 46
I0707 18:43:17.237865 140350605944640 train_utils.py:346] train in step: 47
I0707 18:43:17.313348 140350605944640 train_utils.py:346] train in step: 48
I0707 18:43:17.384666 140350605944640 train_utils.py:346] train in step: 49
I0707 18:43:17.455840 140350605944640 train_utils.py:346] train in step: 50
I0707 18:43:18.248319 140350605944640 train_utils.py:365] train in step: 50, loss: 2.3041999340057373, acc: 0.17399999499320984
I0707 18:43:30.323884 140350605944640 train_utils.py:380] eval in step: 50, loss: 2.1866, acc: 0.2690
