2022-07-07 19:24:12.658504: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcublas.so.11'; dlerror: libcublas.so.11: cannot open shared object file: No such file or directory
2022-07-07 19:24:12.658726: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcublasLt.so.11'; dlerror: libcublasLt.so.11: cannot open shared object file: No such file or directory
2022-07-07 19:24:12.658819: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcufft.so.10'; dlerror: libcufft.so.10: cannot open shared object file: No such file or directory
2022-07-07 19:24:12.658909: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcurand.so.10'; dlerror: libcurand.so.10: cannot open shared object file: No such file or directory
2022-07-07 19:24:12.658996: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcusolver.so.11'; dlerror: libcusolver.so.11: cannot open shared object file: No such file or directory
2022-07-07 19:24:12.659085: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcusparse.so.11'; dlerror: libcusparse.so.11: cannot open shared object file: No such file or directory
2022-07-07 19:24:12.659176: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcudnn.so.8'; dlerror: libcudnn.so.8: cannot open shared object file: No such file or directory
2022-07-07 19:24:12.659200: W tensorflow/core/common_runtime/gpu/gpu_device.cc:1850] Cannot dlopen some GPU libraries. Please make sure the missing libraries mentioned above are installed properly if you would like to use GPU. Follow the guide at https://www.tensorflow.org/install/gpu for how to download and setup the required libraries for your platform.
Skipping registering GPU devices...
I0707 19:24:12.659595 140216863946560 train.py:51] ===========Config Dict============
I0707 19:24:12.659781 140216863946560 train.py:52] available_devices:
- 0
- 1
- 2
- 3
batch_size: 8
checkpoint_freq: 2500
data_dir: google_datasets/listops-1000/
emb_dim: 512
eval_frequency: 50
factors: constant * linear_warmup * rsqrt_decay
learning_rate: 0.05
max_eval_target_length: 200
max_length: 2000
max_predict_token_length: 50
max_target_length: 200
mlp_dim: 1024
model_type: sinkhorn
num_eval_steps: 99999
num_heads: 8
num_layers: 4
num_train_steps: 5001
pooling_mode: CLS
prompt: ''
qkv_dim: 512
random_seed: 0
restore_checkpoints: true
sampling_temperature: 0.6
sampling_top_k: 20
save_checkpoints: true
task_name: basic
tied_weights: false
trial: 0
warmup: 1000
weight_decay: 0.1

I0707 19:24:12.669368 140216863946560 xla_bridge.py:340] Unable to initialize backend 'tpu_driver': NOT_FOUND: Unable to find driver in registry given worker: 
I0707 19:24:13.858449 140216863946560 xla_bridge.py:340] Unable to initialize backend 'rocm': NOT_FOUND: Could not find registered platform with name: "rocm". Available platform names are: Interpreter CUDA Host
I0707 19:24:13.859114 140216863946560 xla_bridge.py:340] Unable to initialize backend 'tpu': module 'jaxlib.xla_extension' has no attribute 'get_tpu_client'
I0707 19:24:13.859345 140216863946560 train.py:64] GPU devices: [GpuDevice(id=0, process_index=0), GpuDevice(id=1, process_index=0), GpuDevice(id=2, process_index=0), GpuDevice(id=3, process_index=0)]
INFO:tensorflow:google_datasets/listops-1000/basic_train.tsv
I0707 19:24:13.859487 140216863946560 input_pipeline.py:35] google_datasets/listops-1000/basic_train.tsv
INFO:tensorflow:google_datasets/listops-1000/basic_val.tsv
I0707 19:24:13.975896 140216863946560 input_pipeline.py:35] google_datasets/listops-1000/basic_val.tsv
INFO:tensorflow:google_datasets/listops-1000/basic_test.tsv
I0707 19:24:14.004887 140216863946560 input_pipeline.py:35] google_datasets/listops-1000/basic_test.tsv
INFO:tensorflow:Finished preprocessing
I0707 19:24:14.033810 140216863946560 input_pipeline.py:64] Finished preprocessing
INFO:tensorflow:Building vocab
I0707 19:24:14.033959 140216863946560 input_pipeline.py:65] Building vocab
INFO:tensorflow:Processed 0
I0707 19:24:14.214126 140216863946560 input_pipeline.py:78] Processed 0
INFO:tensorflow:Processed 1000
I0707 19:24:20.448107 140216863946560 input_pipeline.py:78] Processed 1000
INFO:tensorflow:Finished processing vocab size=15
I0707 19:24:20.458570 140216863946560 input_pipeline.py:82] Finished processing vocab size=15
I0707 19:24:20.550161 140216863946560 train.py:79] Vocab Size: 17
I0707 19:24:33.685409 140216863946560 checkpoints.py:249] Found no checkpoint files in trained_models/listops/sinkhorn with prefix checkpoint_
I0707 19:24:34.384573 140216863946560 train_utils.py:339] Starting training
I0707 19:24:34.384815 140216863946560 train_utils.py:340] ====================
I0707 19:24:54.318995 140216863946560 train_utils.py:346] train in step: 0
I0707 19:24:54.351981 140216863946560 train_utils.py:346] train in step: 1
I0707 19:24:54.379028 140216863946560 train_utils.py:346] train in step: 2
I0707 19:24:54.416432 140216863946560 train_utils.py:346] train in step: 3
I0707 19:24:54.485688 140216863946560 train_utils.py:346] train in step: 4
I0707 19:24:54.553760 140216863946560 train_utils.py:346] train in step: 5
I0707 19:24:54.624434 140216863946560 train_utils.py:346] train in step: 6
I0707 19:24:54.689113 140216863946560 train_utils.py:346] train in step: 7
I0707 19:24:54.757523 140216863946560 train_utils.py:346] train in step: 8
I0707 19:24:54.822862 140216863946560 train_utils.py:346] train in step: 9
I0707 19:24:54.890440 140216863946560 train_utils.py:346] train in step: 10
I0707 19:24:54.954874 140216863946560 train_utils.py:346] train in step: 11
I0707 19:24:55.024067 140216863946560 train_utils.py:346] train in step: 12
I0707 19:24:55.093214 140216863946560 train_utils.py:346] train in step: 13
I0707 19:24:55.156389 140216863946560 train_utils.py:346] train in step: 14
I0707 19:24:55.226387 140216863946560 train_utils.py:346] train in step: 15
I0707 19:24:55.303364 140216863946560 train_utils.py:346] train in step: 16
I0707 19:24:55.368766 140216863946560 train_utils.py:346] train in step: 17
I0707 19:24:55.436278 140216863946560 train_utils.py:346] train in step: 18
I0707 19:24:55.504794 140216863946560 train_utils.py:346] train in step: 19
I0707 19:24:55.570094 140216863946560 train_utils.py:346] train in step: 20
I0707 19:24:55.636311 140216863946560 train_utils.py:346] train in step: 21
I0707 19:24:55.701605 140216863946560 train_utils.py:346] train in step: 22
I0707 19:24:55.767154 140216863946560 train_utils.py:346] train in step: 23
I0707 19:24:55.834039 140216863946560 train_utils.py:346] train in step: 24
I0707 19:24:55.904024 140216863946560 train_utils.py:346] train in step: 25
I0707 19:24:55.977252 140216863946560 train_utils.py:346] train in step: 26
I0707 19:24:56.046664 140216863946560 train_utils.py:346] train in step: 27
I0707 19:24:56.113282 140216863946560 train_utils.py:346] train in step: 28
I0707 19:24:56.180974 140216863946560 train_utils.py:346] train in step: 29
I0707 19:24:56.244429 140216863946560 train_utils.py:346] train in step: 30
I0707 19:24:56.312681 140216863946560 train_utils.py:346] train in step: 31
I0707 19:24:56.384686 140216863946560 train_utils.py:346] train in step: 32
I0707 19:24:56.451683 140216863946560 train_utils.py:346] train in step: 33
I0707 19:24:56.523189 140216863946560 train_utils.py:346] train in step: 34
I0707 19:24:56.598062 140216863946560 train_utils.py:346] train in step: 35
I0707 19:24:56.665597 140216863946560 train_utils.py:346] train in step: 36
I0707 19:24:56.732366 140216863946560 train_utils.py:346] train in step: 37
I0707 19:24:56.798461 140216863946560 train_utils.py:346] train in step: 38
I0707 19:24:56.864133 140216863946560 train_utils.py:346] train in step: 39
I0707 19:24:56.934454 140216863946560 train_utils.py:346] train in step: 40
I0707 19:24:57.001718 140216863946560 train_utils.py:346] train in step: 41
I0707 19:24:57.080745 140216863946560 train_utils.py:346] train in step: 42
I0707 19:24:57.145440 140216863946560 train_utils.py:346] train in step: 43
I0707 19:24:57.215077 140216863946560 train_utils.py:346] train in step: 44
I0707 19:24:57.284256 140216863946560 train_utils.py:346] train in step: 45
I0707 19:24:57.373982 140216863946560 train_utils.py:346] train in step: 46
I0707 19:24:57.439030 140216863946560 train_utils.py:346] train in step: 47
I0707 19:24:57.508271 140216863946560 train_utils.py:346] train in step: 48
I0707 19:24:57.574924 140216863946560 train_utils.py:346] train in step: 49
I0707 19:24:57.640073 140216863946560 train_utils.py:346] train in step: 50
I0707 19:24:58.398507 140216863946560 train_utils.py:365] train in step: 50, loss: 2.4054999351501465, acc: 0.1396999955177307
I0707 19:25:07.849014 140216863946560 train_utils.py:380] eval in step: 50, loss: 2.4721, acc: 0.1660
