I0707 20:20:45.525215 140365311100736 train_utils.py:365] train in step: 50, loss: 2.332200050354004, acc: 0.15929999947547913
I0707 20:21:02.173457 140365311100736 train_utils.py:380] eval in step: 50, loss: 2.3837, acc: 0.1695
I0707 20:21:20.338329 140365311100736 train_utils.py:365] train in step: 100, loss: 2.449199914932251, acc: 0.11749999970197678
I0707 20:21:43.587983 140365311100736 train_utils.py:380] eval in step: 100, loss: 2.4265, acc: 0.1615
I0707 20:22:02.468265 140365311100736 train_utils.py:365] train in step: 150, loss: 2.4428000450134277, acc: 0.11749999970197678
I0707 20:22:39.508025 140365311100736 train_utils.py:380] eval in step: 150, loss: 2.4133, acc: 0.1715
I0707 20:22:57.645744 140365311100736 train_utils.py:365] train in step: 200, loss: 2.4515998363494873, acc: 0.1525000035762787
I0707 20:23:22.369507 140365311100736 train_utils.py:380] eval in step: 200, loss: 2.3556, acc: 0.1715
I0707 20:23:40.712134 140365311100736 train_utils.py:365] train in step: 250, loss: 2.402099847793579, acc: 0.13750000298023224
I0707 20:24:04.409778 140365311100736 train_utils.py:380] eval in step: 250, loss: 2.4669, acc: 0.1595
I0707 20:24:22.462069 140365311100736 train_utils.py:365] train in step: 300, loss: 2.466399908065796, acc: 0.13499999046325684
I0707 20:25:00.179989 140365311100736 train_utils.py:380] eval in step: 300, loss: 2.3450, acc: 0.1715
I0707 20:25:18.282505 140365311100736 train_utils.py:365] train in step: 350, loss: 2.342099905014038, acc: 0.19249999523162842
I0707 20:25:34.098423 140365311100736 train_utils.py:380] eval in step: 350, loss: 2.3358, acc: 0.1595
I0707 20:25:53.258300 140365311100736 train_utils.py:365] train in step: 400, loss: 2.33870005607605, acc: 0.1550000011920929
I0707 20:26:31.107042 140365311100736 train_utils.py:380] eval in step: 400, loss: 2.3564, acc: 0.1715
I0707 20:26:49.201791 140365311100736 train_utils.py:365] train in step: 450, loss: 2.340100049972534, acc: 0.14249999821186066
I0707 20:27:05.141447 140365311100736 train_utils.py:380] eval in step: 450, loss: 2.3049, acc: 0.1595
I0707 20:27:24.521626 140365311100736 train_utils.py:365] train in step: 500, loss: 2.3215999603271484, acc: 0.14999999105930328
I0707 20:27:47.097484 140365311100736 train_utils.py:380] eval in step: 500, loss: 2.3245, acc: 0.1595
I0707 20:28:06.444209 140365311100736 train_utils.py:365] train in step: 550, loss: 2.2969000339508057, acc: 0.17249999940395355
I0707 20:28:36.862344 140365311100736 train_utils.py:380] eval in step: 550, loss: 2.2854, acc: 0.1595
I0707 20:28:54.847297 140365311100736 train_utils.py:365] train in step: 600, loss: 2.295599937438965, acc: 0.14749999344348907
I0707 20:29:19.956745 140365311100736 train_utils.py:380] eval in step: 600, loss: 2.2939, acc: 0.1595
I0707 20:29:37.990806 140365311100736 train_utils.py:365] train in step: 650, loss: 2.3188998699188232, acc: 0.125
I0707 20:30:06.973584 140365311100736 train_utils.py:380] eval in step: 650, loss: 2.2714, acc: 0.1595
I0707 20:30:25.134517 140365311100736 train_utils.py:365] train in step: 700, loss: 2.2784998416900635, acc: 0.1550000011920929
I0707 20:30:43.781300 140365311100736 train_utils.py:380] eval in step: 700, loss: 2.2801, acc: 0.1595
I0707 20:31:03.398257 140365311100736 train_utils.py:365] train in step: 750, loss: 2.274899959564209, acc: 0.16499999165534973
I0707 20:31:36.424937 140365311100736 train_utils.py:380] eval in step: 750, loss: 2.3175, acc: 0.1595
I0707 20:31:54.538447 140365311100736 train_utils.py:365] train in step: 800, loss: 2.2558999061584473, acc: 0.17249999940395355
I0707 20:32:09.961211 140365311100736 train_utils.py:380] eval in step: 800, loss: 2.2628, acc: 0.1595
I0707 20:32:29.203291 140365311100736 train_utils.py:365] train in step: 850, loss: 2.2769999504089355, acc: 0.17249999940395355
I0707 20:33:08.057673 140365311100736 train_utils.py:380] eval in step: 850, loss: 2.2793, acc: 0.1715
I0707 20:33:26.341187 140365311100736 train_utils.py:365] train in step: 900, loss: 2.2695999145507812, acc: 0.17749999463558197
