I0707 16:15:04.600445 140034155616064 train_utils.py:365] train in step: 50, loss: 2.3780999183654785, acc: 0.17159999907016754
I0707 16:15:19.134264 140034155616064 train_utils.py:380] eval in step: 50, loss: 2.4228, acc: 0.1665
I0707 16:15:26.855679 140034155616064 train_utils.py:365] train in step: 100, loss: 2.4598000049591064, acc: 0.14749999344348907
I0707 16:15:38.305888 140034155616064 train_utils.py:380] eval in step: 100, loss: 2.4487, acc: 0.1715
I0707 16:15:45.959215 140034155616064 train_utils.py:365] train in step: 150, loss: 2.432999849319458, acc: 0.14499999582767487
I0707 16:15:57.721065 140034155616064 train_utils.py:380] eval in step: 150, loss: 2.3878, acc: 0.1595
I0707 16:16:06.327986 140034155616064 train_utils.py:365] train in step: 200, loss: 2.483599901199341, acc: 0.0949999988079071
I0707 16:16:17.944062 140034155616064 train_utils.py:380] eval in step: 200, loss: 2.3871, acc: 0.1715
I0707 16:16:25.772912 140034155616064 train_utils.py:365] train in step: 250, loss: 2.38100004196167, acc: 0.14499999582767487
I0707 16:16:38.117113 140034155616064 train_utils.py:380] eval in step: 250, loss: 2.4832, acc: 0.1400
I0707 16:16:48.691404 140034155616064 train_utils.py:365] train in step: 300, loss: 2.411099910736084, acc: 0.1525000035762787
I0707 16:17:00.759232 140034155616064 train_utils.py:380] eval in step: 300, loss: 2.4310, acc: 0.1595
I0707 16:17:10.101122 140034155616064 train_utils.py:365] train in step: 350, loss: 2.3729000091552734, acc: 0.1599999964237213
I0707 16:17:24.501548 140034155616064 train_utils.py:380] eval in step: 350, loss: 2.3265, acc: 0.1715
I0707 16:17:34.488617 140034155616064 train_utils.py:365] train in step: 400, loss: 2.3451998233795166, acc: 0.1599999964237213
I0707 16:17:52.331881 140034155616064 train_utils.py:380] eval in step: 400, loss: 2.3575, acc: 0.0875
I0707 16:18:00.938852 140034155616064 train_utils.py:365] train in step: 450, loss: 2.300299882888794, acc: 0.17249999940395355
I0707 16:18:16.587953 140034155616064 train_utils.py:380] eval in step: 450, loss: 2.2822, acc: 0.1715
I0707 16:18:27.230155 140034155616064 train_utils.py:365] train in step: 500, loss: 2.3350000381469727, acc: 0.11499999463558197
I0707 16:18:44.479317 140034155616064 train_utils.py:380] eval in step: 500, loss: 2.3663, acc: 0.0780
I0707 16:18:54.927302 140034155616064 train_utils.py:365] train in step: 550, loss: 2.2570998668670654, acc: 0.17249999940395355
I0707 16:19:16.130029 140034155616064 train_utils.py:380] eval in step: 550, loss: 2.3187, acc: 0.1595
I0707 16:19:24.783817 140034155616064 train_utils.py:365] train in step: 600, loss: 2.282099962234497, acc: 0.1824999898672104
I0707 16:19:41.516211 140034155616064 train_utils.py:380] eval in step: 600, loss: 2.2829, acc: 0.1595
I0707 16:19:52.715196 140034155616064 train_utils.py:365] train in step: 650, loss: 2.29830002784729, acc: 0.1224999949336052
I0707 16:20:37.094036 140034155616064 train_utils.py:380] eval in step: 650, loss: 2.2597, acc: 0.1595
I0707 16:20:44.772897 140034155616064 train_utils.py:365] train in step: 700, loss: 2.2592999935150146, acc: 0.1574999988079071
I0707 16:20:56.652971 140034155616064 train_utils.py:380] eval in step: 700, loss: 2.2665, acc: 0.1715
I0707 16:21:09.318623 140034155616064 train_utils.py:365] train in step: 750, loss: 2.2744998931884766, acc: 0.1850000023841858
I0707 16:21:26.590914 140034155616064 train_utils.py:380] eval in step: 750, loss: 2.2730, acc: 0.1715
